	LB1	LB10	LB11	LB12	LB13	LB14	LB15	LB16	LB17	LB18	LB19	LB2	LB20	LB21	LB22	LB23	LB24	LB25	LB26	LB27	LB3	LB4	LB5	LB6	LB7	LB8	LB9	LH1	LL1	LL10	LL11	LL12	LL13	LL14	LL15	LL16	LL17	LL18	LL2	LL20	LL21	LL22	LL23	LL24	LL26	LL27	LL3	LL4	LL6	LL7	LL8	LL9	M1	M2	M3	N1	N2	N3	N4	N5	N6	P1-NTC2	P1-NTC3	P1-PCRpos1	P1-PCRpos2	P1-PCRpos3	P2-NTC1	P2-NTC2	P2-NTC3	P2-PCRpos1	P2-PCRpos2	P2-PCRpos3	WB1	WB10	WB11	WB12	WB13	WB14	WB15	WB16	WB17	WB18	WB19	WB2	WB20	WB21	WB22	WB23	WB24	WB25	WB26	WB27	WB28	WB29	WB3	WB30	WB31	WB32	WB33	WB34	WB35	WB36	WB37	WB38	WB39	WB4	WB40	WB41	WB42	WB43	WB44	WB45	WB46	WB47	WB48	WB49	WB5	WB50	WB51	WB52	WB53	WB54	WB55	WB56	WB57	WB58	WB59	WB6	WB60	WB61	WB62	WB63	WB64	WB65	WB66	WB67	WB68	WB69	WB7	WB70	WB8	WB9	WL1	WL10	WL11	WL12	WL13	WL14	WL15	WL16	WL17	WL18	WL19	WL2	WL20	WL21	WL22	WL23	WL24	WL25	WL26	WL27	WL28	WL29	WL3	WL30	WL31	WL32	WL33	WL34	WL4	WL5	WL6	WL7	WL8	WL9
a235a952f4872a1b7f399781262dc83e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	31058.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6530.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	20.0	0.0	0.0	0.0	36505.0	26942.0	49845.0	1185.0	25798.0	58036.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	48248.0	32735.0	35224.0	29465.0	35031.0	0.0	96.0	13744.0	4690.0	19141.0	25327.0	26695.0	43445.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	49884.0	64509.0	58138.0	0.0	1344.0	37.0	59907.0	6.0	12.0	0.0	30.0	16.0	27.0	28830.0	4.0	50344.0	46338.0	10345.0	68833.0	0.0	50023.0	13090.0	57308.0	34683.0	51227.0	4.0	2789.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8f94e9d26573bd07cfef45f2e931dfdc	0.0	0.0	69687.0	25991.0	5.0	7.0	6.0	0.0	0.0	57219.0	38695.0	3.0	30182.0	30724.0	34290.0	3.0	3626.0	14750.0	30643.0	15587.0	0.0	0.0	0.0	0.0	0.0	15201.0	6278.0	0.0	4.0	0.0	0.0	95.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	5738.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	7622.0	33575.0	7229.0	94681.0	4605.0	154.0	0.0	0.0	0.0	9.0	16.0	0.0	4.0	4819.0	4929.0	1948.0	1776.0	147.0	0.0	241.0	0.0	4693.0	3.0	3071.0	290.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	402.0	16446.0	254.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8059.0	1289.0	2069.0	4805.0	11.0	0.0	80.0	0.0	3824.0	5844.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	53355.0	14.0	14.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8158.0	17892.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
be7f9232534762862a17d0278d36406f	0.0	0.0	0.0	0.0	0.0	0.0	461.0	2198.0	0.0	0.0	0.0	1219.0	3760.0	0.0	0.0	0.0	0.0	3388.0	23.0	0.0	0.0	0.0	0.0	7755.0	0.0	0.0	0.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	5347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1034.0	288.0	1627.0	4.0	0.0	7517.0	6384.0	9792.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15169.0	10939.0	11477.0	17911.0	600.0	1185.0	1266.0	1233.0	1226.0	16.0	11892.0	29073.0	685.0	22248.0	6159.0	3773.0	12.0	27.0	207.0	1097.0	643.0	168.0	9321.0	36.0	0.0	2065.0	651.0	635.0	191.0	0.0	16918.0	18919.0	7088.0	19041.0	28424.0	1947.0	1724.0	3164.0	4.0	2898.0	203.0	1641.0	223.0	4967.0	9514.0	0.0	1403.0	127.0	18434.0	4043.0	14308.0	20811.0	496.0	26902.0	582.0	21460.0	0.0	300.0	168.0	4279.0	5.0	235.0	509.0	25.0	337.0	0.0	5698.0	77.0	15286.0	1948.0	4938.0	15239.0	7606.0	0.0	3739.0	2976.0	4822.0	27.0	0.0	782.0	3253.0	9398.0	1096.0	0.0	1106.0	6032.0	6.0	3360.0	124.0	19511.0	225.0	854.0	0.0	254.0	7404.0	902.0	241.0	0.0	5070.0	8551.0	6743.0	0.0	10991.0	6235.0
2844bb741432b1897e44e728c6446346	0.0	0.0	2467.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2333.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	57546.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43371.0	0.0	0.0	192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2496.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.0	0.0	4.0	0.0	0.0	0.0	0.0	8241.0	0.0	0.0	0.0	0.0	0.0	88542.0	0.0	0.0	10.0	20.0	0.0	4.0	0.0	0.0	4.0	3.0	4.0	0.0	5.0	0.0	95011.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6efdbb1130057f8cf475717c187f17c6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8279.0	0.0	0.0	0.0	0.0	0.0	0.0	11568.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	466.0	5538.0	9693.0	0.0	0.0	0.0	46155.0	28046.0	37260.0	0.0	0.0	0.0	0.0	1053.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12893.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2032.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	283.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d1ef1fba429010c7e22a29d1f179c7af	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	223.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5319.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1431.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1259.0	0.0	6.0	0.0	0.0	13128.0	0.0	0.0	0.0	0.0	0.0	8889.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12619.0	8144.0	2992.0	0.0	0.0	0.0	9709.0	25532.0	0.0	0.0	4.0	0.0	0.0	0.0	1024.0	0.0	0.0	9565.0	0.0	0.0	24891.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10840.0	0.0	6.0	0.0	0.0	0.0
6d8cbe540b745e550e89f170811a179d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3638.0	0.0	0.0	0.0	0.0	16848.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	532.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19872.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17015.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	591.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24642.0	0.0	0.0	4.0	0.0	557.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	600.0	0.0	0.0	3.0	0.0	12210.0	0.0	0.0	28100.0	268.0	0.0	0.0	0.0	0.0	6181.0	0.0
989d3c79ddd79a7751f46e8e94409ded	0.0	0.0	2193.0	4355.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7661.0	19835.0	0.0	0.0	11403.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1879.0	0.0	0.0	268.0	0.0	0.0	0.0	27259.0	0.0	0.0	0.0	0.0	0.0	0.0	769.0	0.0	0.0	0.0	0.0	40806.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5654.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1f453de143de4c2de24c2f37181db2ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	34607.0	28251.0	0.0	49.0	29572.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13055.0	0.0	0.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bb341a67428f8f5ab3459801e58a9431	0.0	0.0	0.0	9317.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2221.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	672.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22483.0	1420.0	0.0	0.0	0.0	0.0	489.0	0.0	0.0	0.0	0.0	0.0	9526.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	588.0	0.0	0.0	274.0	0.0	0.0	2.0	0.0	37.0	0.0	0.0	0.0	9993.0	0.0	11158.0	2855.0	0.0	1970.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	555.0	0.0	0.0	3916.0	0.0	9428.0	0.0	0.0	10453.0
